100463	100704	100437	362
100750	101018	100800	363
101066	101335	101035	364
101338	101387	101358	365
101657	101709	101678	366
101968	101972	101970	367
102021	102287	102240	368
102341	102586	102308	369
102591	102593	102590	370
102640	102899	102615	371
102945	103216	102960	372
103264	103540	103237	373
103588	103861	103680	374
103909	104174	103881	375
104176	104178	104175	376
104226	104489	104400	377
104543	104796	104510	378
104851	105110	104825	379
105167	105419	105130	380
105477	105771	105451	381
105818	106098	105840	382
106144	106411	106118	383
106459	106720	106560	384
106768	107027	106740	385
107029	107031	107028	386
107080	107350	107280	387
107404	107658	107371	388
107714	108007	108000	389
108064	108324	108029	390
108381	108633	108355	391
108679	108937	108720	392
108983	109238	108956	393
109241	109290	109263	394
109552	109604	109573	395
109855	109860	109858	396
109909	110185	110160	397
110242	110494	110207	398
110551	110806	110525	399
110852	111105	110880	400
111151	111397	111125	401
111400	111402	111399	402
111450	111719	111600	403
111772	112029	111740	404
112033	112082	112057	405
112354	112410	112371	406
112664	112720	112695	407
112975	113021	112995	408
113273	113319	113293	409
113571	113619	113594	410
113891	113944	113912	411
114210	114214	114213	412
114264	114540	114480	413
114595	114864	114561	414
114920	115189	114890	415
115247	115481	115210	416
115538	115796	115511	417
115843	116109	115920	418
116158	116425	116130	419
116428	116478	116453	420
116749	116800	116769	421
117058	117113	117087	422
117372	117429	117394	423
117662	117719	117692	424
117974	118021	117996	425
118287	118335	118307	426
118605	118608	118607	427
118657	118930	118800	428
118981	119236	118950	429
119240	119290	119261	430
119555	119610	119576	431
119843	119899	119872	432
120148	120194	120169	433
120453	120500	120474	434
120765	120769	120768	435
120819	121091	120960	436
121143	121386	121112	437
121440	121693	121680	438
121749	121976	121714	439
122033	122273	122007	440
122321	122578	122400	441
122627	122881	122599	442
122884	122886	122883	443
122935	123202	123120	444
123256	123497	123223	445
123552	123790	123526	446
123836	124089	123840	447
124135	124375	124108	448
124422	124661	124560	449
124713	124955	124682	450
125010	125271	124983	451
125327	125565	125291	452
125623	125867	125597	453
125914	126157	126000	454
126205	126453	126178	455
126457	126506	126480	456
126765	126819	126786	457
127067	127123	127097	458
127397	127445	127440	459
127725	127775	127748	460
128042	128089	128064	461
